parlimen;negeri;pemilih;pengundi;parti_bebas;parti_berjasa;parti_bersama;parti_barisan;parti_dap;parti_kita;parti_pas;parti_pcm;parti_pkr;parti_sapp;parti_star;parti_swp
P.001 - PADANG BESAR;Perlis;41974;36142;0;0;0;21473;0;0;14047;0;0;0;0;0
P.002 - KANGAR;Perlis;51207;43431;0;0;0;23343;0;0;19306;0;0;0;0;0
P.003 - ARAU;Perlis;43876;38439;406;0;0;19376;0;0;18005;0;0;0;0;0
P.004 - LANGKAWI;Kedah;37536;32096;180;0;0;21407;0;0;0;0;9546;0;0;0
P.005 - JERLUN;Kedah;52383;45899;0;0;0;24161;0;0;20891;0;0;0;0;0
P.006 - KUBANG PASU;Kedah;65550;57296;0;0;0;33334;0;0;22890;0;0;0;0;0
P.007 - PADANG TERAP;Kedah;41960;37904;243;0;0;20654;0;0;16212;0;0;0;0;0
P.008 - POKOK SENA;Kedah;80714;69524;0;0;0;32263;0;0;36198;0;0;0;0;0
P.009 - ALOR STAR;Kedah;69009;57912;0;3530;257;25491;0;0;0;0;27364;0;0;0
P.010 - KUALA KEDAH;Kedah;95328;82253;0;0;0;37923;0;0;0;0;42870;0;0;0
P.011 - PENDANG;Kedah;70135;62578;0;0;0;32165;0;0;29527;0;0;0;0;0
P.012 - JERAI;Kedah;74410;64778;0;0;0;32429;0;0;31233;0;0;0;0;0
P.013 - SIK;Kedah;46786;42077;0;0;0;22084;0;0;19277;0;0;0;0;0
P.014 - MERBOK;Kedah;85908;74520;0;0;0;38538;0;0;0;0;34416;0;0;0
P.015 - SUNGAI PETANI;Kedah;93176;81024;772;0;0;34646;0;200;0;0;44194;0;0;0
P.016 - BALING;Kedah;93168;83109;0;0;0;43504;0;0;38319;0;0;0;0;0
P.017 - PADANG SERAI;Kedah;74095;64584;669;2630;0;25714;0;0;0;0;34151;0;0;0
P.018 - KULIM-BANDAR BAHARU;Kedah;60910;52766;0;0;0;26782;0;0;0;0;24911;0;0;0
P.019 - TUMPAT;Kelantan;98632;82962;0;0;0;35487;0;0;46191;0;0;0;0;0
P.020 - PENGKALAN CHEPA;Kelantan;64409;54985;0;0;0;19497;0;0;34617;0;0;0;0;0
P.021 - KOTA BHARU;Kelantan;81268;66277;148;0;0;24650;0;0;40620;0;0;0;0;0
P.022 - PASIR MAS;Kelantan;71965;60168;25384;0;0;0;0;0;33431;0;0;0;0;0
P.023 - RANTAU PANJANG;Kelantan;52903;41934;0;0;0;17405;0;0;23767;0;0;0;0;0
P.024 - KUBANG KERIAN;Kelantan;65390;55108;0;0;0;18769;0;0;35510;0;0;0;0;0
P.025 - BACHOK;Kelantan;81566;71792;0;0;0;35218;0;0;35419;0;0;0;0;0
P.026 - KETEREH;Kelantan;62217;53906;0;0;0;26912;0;0;0;0;25938;0;0;0
P.027 - TANAH MERAH;Kelantan;58237;50009;213;0;0;26505;0;0;0;0;22278;0;0;0
P.028 - PASIR PUTEH;Kelantan;76259;66232;0;0;0;31691;0;0;33579;0;0;0;0;0
P.029 - MACHANG;Kelantan;59226;51372;0;0;0;25660;0;0;0;0;24855;0;0;0
P.030 - JELI;Kelantan;43224;37871;0;0;0;21345;0;0;16009;0;0;0;0;0
P.031 - KUALA KRAI;Kelantan;63101;54643;0;0;0;25876;0;0;27919;0;0;0;0;0
P.032 - GUA MUSANG;Kelantan;40176;35097;0;0;0;21367;0;0;12954;0;0;0;0;0
P.033 - BESUT;Terengganu;72566;63017;0;0;0;35232;0;0;26890;0;0;0;0;0
P.034 - SETIU;Terengganu;67280;59262;0;0;0;33198;0;0;25255;0;0;0;0;0
P.035 - KUALA NERUS;Terengganu;76238;68036;0;0;0;33251;0;0;33861;0;0;0;0;0
P.036 - KUALA TERENGGANU;Terengganu;94406;82122;182;0;0;35043;0;0;45828;0;0;0;0;0
P.037 - MARANG;Terengganu;90795;81829;0;0;0;37860;0;0;42984;0;0;0;0;0
P.038 - HULU TERENGGANU;Terengganu;63543;56634;0;0;0;31940;0;0;23727;0;0;0;0;0
P.039 - DUNGUN;Terengganu;78174;68204;384;0;0;31406;0;0;35348;0;0;0;0;0
P.040 - KEMAMAN;Terengganu;91942;80168;0;0;0;45525;0;0;0;0;33219;0;0;0
P.041 - KEPALA BATAS;Pulau Pinang;51635;46740;0;0;0;25128;0;0;20952;0;0;0;0;0
P.042 - TASEK GELUGOR;Pulau Pinang;54042;48121;1590;0;0;24393;0;0;21351;0;0;0;0;0
P.043 - BAGAN;Pulau Pinang;68503;59792;0;0;0;12307;46466;0;0;328;0;0;0;0
P.044 - PERMATANG PAUH;Pulau Pinang;71699;63475;201;0;0;25369;0;0;0;0;37090;0;0;0
P.045 - BUKIT MERTAJAM;Pulau Pinang;78996;69588;0;0;0;12814;55877;0;0;0;0;0;0;0
P.046 - BATU KAWAN;Pulau Pinang;57500;50208;305;0;0;10674;36636;0;0;1801;0;0;0;0
P.047 - NIBONG TEBAL;Pulau Pinang;59345;52599;297;0;0;21405;0;0;0;0;30003;0;0;0
P.048 - BUKIT BENDERA;Pulau Pinang;71085;59118;0;0;0;12813;45591;0;0;0;0;0;0;0
P.049 - TANJONG;Pulau Pinang;51487;42903;0;0;0;6865;35510;0;0;0;0;0;0;0
P.050 - JELUTONG;Pulau Pinang;71247;61715;0;0;0;17461;43211;0;0;0;0;0;0;0
P.051 - BUKIT GELUGOR;Pulau Pinang;81897;70683;0;0;0;13597;56303;0;0;0;0;0;0;0
P.052 - BAYAN BARU;Pulau Pinang;79155;68846;0;0;0;24251;0;0;0;0;43558;0;0;0
P.053 - BALIK PULAU;Pulau Pinang;49641;43773;0;0;0;22318;0;0;0;0;20779;0;0;0
P.054 - GERIK;Perak;32725;27414;0;0;0;16415;0;0;10199;0;0;0;0;0
P.055 - LENGGONG;Perak;27950;23736;0;0;0;13639;0;0;9478;0;0;0;0;0
P.056 - LARUT;Perak;46577;40100;278;0;0;22184;0;0;16888;0;0;0;0;0
P.057 - PARIT BUNTAR;Perak;51422;44306;0;0;0;17539;0;0;26015;0;0;0;0;0
P.058 - BAGAN SERAI;Perak;54792;46384;329;0;0;23014;0;0;0;0;21874;0;0;0
P.059 - BUKIT GANTANG;Perak;71257;61018;0;0;0;29577;0;0;30563;0;0;0;0;0
P.060 - TAIPING;Perak;78148;63913;0;0;0;25530;37275;0;0;0;0;0;0;0
P.061 - PADANG RENGAS;Perak;28518;24230;0;0;0;13005;0;0;0;0;10775;0;0;0
P.062 - SUNGAI SIPUT;Perak;51596;41617;197;0;0;18800;0;0;0;0;21593;0;0;0
P.063 - TAMBUN;Perak;89435;76275;0;0;0;42093;0;0;0;0;32768;0;0;0
P.064 - IPOH TIMOR;Perak;81818;65217;0;0;0;15086;49086;0;0;0;0;0;0;0
P.065 - IPOH BARAT;Perak;77761;63074;235;0;0;16382;45420;0;0;0;0;0;0;0
P.067 - KUALA KANGSAR;Perak;33540;28283;447;0;0;14218;0;0;13136;0;0;0;0;0
P.068 - BERUAS;Perak;49205;39586;0;0;0;16882;21939;0;0;0;0;0;0;0
P.069 - PARIT;Perak;33503;28613;0;0;0;16253;0;0;11756;0;0;0;0;0
P.070 - KAMPAR;Perak;63619;49272;0;0;0;21463;26863;0;0;0;0;0;0;0
P.071 - GOPENG;Perak;97092;81442;0;0;0;32249;0;0;0;0;47558;0;0;0
P.072 - TAPAH;Perak;45485;36957;337;2053;0;20670;0;0;0;0;12743;0;0;0
P.073 - PASIR SALAK;Perak;51498;43533;0;0;0;24875;0;0;0;0;17489;0;0;0
P.074 - LUMUT;Perak;88300;73756;0;0;0;32140;0;0;0;0;40308;0;0;0
P.075 - BAGAN DATOK;Perak;39924;33069;0;0;0;17176;0;0;0;0;15068;0;0;0
